Date,Precipitation (mm),Ambient Temp (°C),Humidity (%),Soil Temp (°C),Soil Moisture (%),Watering Action,Watering Duration (minutes)
2023-11-29,18.678344844520932,21.611752731228233,67.66961450015005,17.256004700373246,13.420023408435618,Skip Watering,0
2023-11-28,10.66777813753652,27.74001842594533,51.55316139832847,19.548672593076436,24.391375497997835,Skip Watering,0
2023-11-27,11.094988643550414,28.009528075252156,63.75695455937388,15.28941945256354,15.571368290423141,Skip Watering,0
2023-11-26,10.077184593744505,27.10656800367326,50.215095280721286,22.759313665673943,10.952511434729962,Skip Watering,0
2023-11-25,4.515716332987778,30.72507347672704,54.985000120241935,25.205639619394734,22.21187230351348,Water More,25
2023-11-24,18.43266119434893,33.01915192647203,45.97165851131066,23.387944487802756,12.628180642376137,Skip Watering,0
2023-11-23,19.142403955329986,34.45469210653444,63.38998478511054,26.16183373094605,17.7019684881442,Skip Watering,0
2023-11-22,12.124194247741823,22.596454971824258,43.23418516787512,22.547873541277788,24.583229609010864,Skip Watering,0
2023-11-21,18.287529717565878,31.390043363801723,53.95476818458903,23.250725866959318,19.359059953704108,Skip Watering,0
2023-11-20,3.181472907288858,24.820872963805652,71.0568306756247,29.691157999944398,21.657714854914083,Water More,25
2023-11-19,7.371333920669656,25.893560108422037,77.82909530271131,24.581522919103808,10.171738897683857,Water More,30
2023-11-18,1.2734813698015524,26.548266323940744,57.18183843568168,18.356431730147612,11.750871245005555,Water More,30
2023-11-17,14.18337838652568,23.001955742664023,78.70496978642598,28.104145269784837,11.095276560167138,Skip Watering,0
2023-11-16,6.7453364000863525,25.487137756501337,78.85342261802907,23.70954512438965,18.339266836858293,Water More,30
2023-11-15,18.578471420710127,21.745263818684933,62.13126149714351,24.23905423569494,24.921771731511498,Skip Watering,0
2023-11-14,15.088020451078009,24.416772896613008,66.34810189281873,27.235655954526347,10.863476017799632,Skip Watering,0
2023-11-13,10.395407579519219,22.433179729125268,63.314309966382325,29.733454281836956,15.96496179278074,Skip Watering,0
2023-11-12,7.5337759975707215,32.35242743427721,45.86869267620518,27.826878886924526,22.03754156570458,Water More,30
2023-11-11,13.654842726891923,31.53746245576685,61.19153673823677,26.371976336796276,15.713961928002615,Skip Watering,0
2023-11-10,12.050307000740245,25.785692160008775,40.02902800530443,22.20788670143257,22.229279540436444,Skip Watering,0
2023-11-09,9.966180906338638,30.564401893491578,51.89008602623705,26.25158935387242,12.181424120454313,Water More,25
2023-11-08,12.547769464053777,34.74054417195627,40.44149707748367,21.38137962055455,13.679624542593823,Skip Watering,0
2023-11-07,12.923952719662449,22.975512271862296,44.08136331372326,29.560469973855163,24.155588240535067,Skip Watering,0
2023-11-06,9.533771813005885,20.864323518202475,56.47503218745385,27.67854042622142,13.822247601298141,Water More,25
2023-11-05,0.9635167574336845,22.645373450204417,63.36108289130546,28.8219165069303,19.27598584074631,Water More,25
2023-11-04,6.590184749021024,21.03969438792267,67.64721726633334,28.788431608488402,12.50287261444297,Water More,25
2023-11-03,18.854794092057737,24.34961418652371,79.22121706627607,20.769064272331327,13.878857943936048,Skip Watering,0
2023-11-02,4.652862598926058,24.836913194519525,65.37211644479419,17.958028739788876,20.199267631824583,Normal Watering,20
2023-11-01,5.195903151787844,29.001199649752696,70.5102398348881,19.032732847650706,19.71003419544832,Water More,30
2023-10-31,12.156097884030006,26.985260465580215,48.57663493392694,24.76993901397682,24.905529219392474,Skip Watering,0
2023-10-30,2.144174476423224,29.647114604973204,78.51802379893958,24.09363008507135,16.334651575961843,Water More,30
2023-10-29,6.537289790294323,28.343282546331046,64.63255198721848,16.875457975057476,20.937778112249955,Normal Watering,20
2023-10-28,15.963360232229178,28.209793646320527,71.23572405908439,29.12331947737787,22.936256195007424,Skip Watering,0
2023-10-27,9.57069841246267,23.702037167765553,54.33164380640411,22.162658846834525,18.48031473487347,Water More,30
2023-10-26,11.022957827658388,31.27400745620998,67.35209088152739,22.359141794899514,16.965901452237958,Skip Watering,0
2023-10-25,2.345751103638629,30.6247666662022,74.8331726157545,22.001398531661096,24.660620233276187,Normal Watering,20
2023-10-24,5.663465013724913,23.884829282973858,74.55209708298509,25.89299429568569,20.068084456298966,Water More,25
2023-10-23,14.090414359524232,31.634943189542078,47.47775255093948,26.212290415458206,22.785492597461364,Skip Watering,0
2023-10-22,17.840344050428925,23.43539562147196,41.363257776044506,28.55954129829715,10.506002497713926,Skip Watering,0
2023-10-21,4.663985437992757,20.799832146762466,63.741307646281484,20.423377297432577,23.83372766802865,Normal Watering,20
